id,type,description
1,points,earn 1 point for every dollar spent
2,coupon,10% off coupon for every 10 orders
3,discount,redeem 1000 points for 20% off next order
4,points ,earn 2 points for every dollar spent
5,freebie,complimentary alcoholic drink with every reservation
6,freebie,redeem 500 points for a free appetizer
7,coupon,10% off coupon for every 5 orders
8,priority,priority seating for walk-in visits
9,coupon,25% off coupon for your birthday
10,discount,redeem 2000 points for 50% off next order
